trace.001,282107558,450171
trace.002,247273240,387283
trace.003,256194113,392876
trace.004,227828812,350653
trace.005,29686237,46090
trace.006,129131949,185643
trace.007,86750890,127728
trace.008,280040053,370611
trace.009,40376037,60095
trace.010,49306876,70124
trace.011,318502461,453251
trace.012,308561326,436973
trace.013,319168796,420641
trace.014,322818530,403342
trace.015,341637319,416193
trace.016,336579965,430596
trace.017,297898524,423250
trace.018,309239970,449335
trace.019,313948172,450179
trace.020,306123184,443335
trace.021,311871557,459480
trace.022,284698494,486029
trace.023,313808454,495865
trace.024,304259630,496009
trace.025,289064526,495581
trace.026,292166111,493620
trace.027,311132043,495270
trace.028,295347552,457153
trace.029,284746258,433051
trace.030,325325866,495920
trace.031,306743879,495309
trace.032,289692039,478534
trace.033,278532494,411494
trace.034,227867890,343170
trace.035,257466763,382837
trace.036,287110711,425234
trace.037,271081106,402440
trace.038,243087793,360645
trace.039,295609563,442307
trace.040,249654707,397785
trace.041,285048683,469251
trace.042,295697843,476587
trace.043,317120071,486955
trace.044,309712523,488815
trace.045,306784551,485258
trace.046,339890447,487535
trace.047,220116460,368133
trace.048,247762662,404467
trace.049,260025451,420213
trace.050,273073241,444379
trace.051,314286841,474087
trace.052,302557787,480564
trace.053,294821277,474532
trace.054,294533069,467060
trace.055,302895369,470322
trace.056,274692900,455676
trace.057,324625539,464643
trace.058,385675276,484620
trace.059,369282109,493122
trace.060,371170858,496125
trace.061,373997343,491424
trace.062,388197276,454990
trace.063,409546943,479302
trace.064,419389407,483416
trace.065,406218187,475543
trace.066,346982758,464484
trace.067,364098757,467646
trace.068,356500928,470770
trace.069,353427073,480209
trace.070,351982840,468976
trace.071,353684643,484361
trace.072,364915989,485334
trace.073,383276869,487197
trace.074,379909598,486300
trace.075,376343053,485899
trace.076,373044172,485825
trace.077,318290004,483020
trace.078,338486069,483596
trace.079,335398422,481219
trace.080,315437943,459119
trace.081,327584651,477744
trace.082,331595621,481081
trace.083,322797520,471775
trace.084,332035602,473547
trace.085,335130391,474545
trace.086,334853141,476328
trace.087,305142489,468148
trace.088,304986763,477870
trace.089,307003383,481684
trace.090,305214252,473785
trace.091,306412956,476341
trace.092,294110900,482851
trace.093,285360868,481609
trace.094,304858596,486753
trace.095,237066190,453999
trace.096,159413148,421521
trace.097,236639406,440720
trace.098,140727828,383184
trace.099,314099900,479116
trace.100,300457136,476507
trace.101,262968013,400491
